date,trends_signal,wiki_signal,upload_count,total_views_of_new_videos,unique_channels,total_likes,youtube_signal,youtube_creator_signal,log_views,log_likes,youtube_audience_signal,hype_index_equal,hype_index_pca,z_score,is_spike
2025-05-25,0.0584192439862542,0.0981313742882696,0.0967741935483871,0.297729405184965,0.1153846153846153,2871036.0,0.2224705718258761,0.1060794044665012,0.9382343561244548,0.9055932917289536,0.9219138239267042,0.1263403967001333,0.217945012741815,-0.20237576375909694,False
2025-06-01,0.0274914089347079,0.0976700761019321,0.0161290322580645,0.0232537769456954,0.0192307692307692,40227.0,0.0222089636490029,0.0176799007444168,0.8082502005563371,0.6456805547504123,0.7269653776533747,0.0491234828952143,0.0721014012623228,-0.6371981508940565,False
2025-06-08,0.0378006872852233,0.0892035367830095,0.032258064516129,0.0216654082564196,0.0384615384615384,134692.0,0.0304088121402776,0.0353598014888337,0.8046433440029184,0.719274163252381,0.7619587536276498,0.0524710120695035,0.07893469745594,-0.6207325965782027,False
2025-06-15,0.0343642611683848,0.0795862057120002,0.032258064516129,0.0001558958658845,0.0384615384615384,1348.0,0.0182790532823552,0.0353598014888337,0.5530953742368855,0.4389130999482735,0.4960042370925794,0.0440765067209134,0.0646718842325151,-0.6577286986521665,False
2025-06-22,0.0274914089347079,0.0706240162141405,0.032258064516129,0.0101182704620748,0.0384615384615384,102108.0,0.0238970886571252,0.0353598014888337,0.7658286276937303,0.7024074839047219,0.7341180557992261,0.0406708379353245,0.0602706494505809,-0.6361835207897437,False
2025-06-29,0.0687285223367697,0.0667876347548924,0.0161290322580645,0.004496543902146,0.0192307692307692,8998.0,0.011631284828156,0.0176799007444168,0.7244822887931353,0.5544859523760185,0.6394841205845769,0.049049147306606,0.0729576193969257,-0.46216683221838806,False
2025-07-06,0.0446735395189003,0.0512102329678526,0.032258064516129,0.0111966029262456,0.0384615384615384,74379.0,0.024505187647078,0.0353598014888337,0.7709912350655612,0.6831111078750663,0.7270511714703138,0.0401296533779436,0.060727283515396,-0.6922507279268924,False
2025-07-13,0.0378006872852233,0.0482792718849797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028693319723401,0.0398299332556228,-0.8314535781511551,False
2025-07-20,0.0274914089347079,0.0512715758117805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0262543282488294,0.0356567399899586,-1.573396315180473,False
2025-07-27,0.0446735395189003,0.0507869673447504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0318201689545502,0.0447623913605857,-0.7707329236551954,False
2025-08-03,0.0446735395189003,0.064835705461108,0.0161290322580645,0.0227830681220644,0.0192307692307692,350244.0,0.0219435190206322,0.0176799007444168,0.8072076665328092,0.7774722641303822,0.7923399653315957,0.0438175880002135,0.0655867485603582,0.7042320359044226,False
2025-08-10,0.0412371134020618,0.0719809199218246,0.0161290322580645,0.0100344571730894,0.0192307692307692,136924.0,0.0147542543931095,0.0176799007444168,0.7654045847944423,0.7202750669033221,0.7428398258488822,0.0426574292389987,0.0625073010267855,0.5937464004302154,False
2025-08-17,0.0274914089347079,0.0578978298128675,0.0161290322580645,0.0080142045330874,0.0192307692307692,27406.0,0.0136149827578265,0.0176799007444168,0.7539438461733875,0.6223093008384176,0.6881265735059026,0.0330014071684673,0.0475790177331948,-0.48399114113599323,False
2025-08-24,0.0240549828178694,0.0597258465619176,0.0161290322580645,0.0192802139202363,0.0192307692307692,63269.0,0.0199681708113752,0.0176799007444168,0.7986971842901998,0.6732589711704762,0.735978077730338,0.0345830000637207,0.0506712548102945,-0.08292440994257319,False
2025-08-31,0.0412371134020618,0.0596571425767184,0.0161290322580645,0.0020929073729229,0.0192307692307692,4070.0,0.0102758133068956,0.0176799007444168,0.685495254206111,0.5061786108829769,0.595836932544544,0.0370566897618919,0.0537410083964227,0.3733359889779308,False
2025-09-07,0.0446735395189003,0.0693701684842551,0.0161290322580645,0.0098880911863397,0.0192307692307692,0.0,0.0146717149058333,0.0176799007444168,0.7646554993974952,0.0,0.3823277496987476,0.0429051409696629,0.0630747868139344,1.0189137099245664,False
2025-09-14,0.0481099656357388,0.0589676490109693,0.0806451612903225,0.0730636246759667,0.0961538461538461,43216.0,0.0866802777423956,0.0883995037220843,0.8666151197691327,0.6500452939367226,0.7583302068529276,0.0645859641297012,0.1062930662456869,2.2129433422935634,True
2025-09-21,0.0343642611683848,0.0621721991777605,0.032258064516129,0.0066872294091779,0.0384615384615384,53991.0,0.0219622377015274,0.0353598014888337,0.7447156910723017,0.6636017392170966,0.7041587151446992,0.0394995660158909,0.0587245011298578,-0.2802481122458182,False
2025-09-28,0.0378006872852233,0.0614397656212619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0330801509688284,0.0461151054585519,-0.7583717071221553,False
2025-10-05,0.0274914089347079,0.059605614587819,0.032258064516129,0.0194663038822105,0.0384615384615384,1115.0,0.0291686814818859,0.0353598014888337,0.7991868750556492,0.4273656972441098,0.6132762861498795,0.0387552350014709,0.058399401306921,-0.16233369355004992,False
